Gene,Freq
AYC08188.1,0.14285714285714285
AAC73116.1,0.1326530612244898
AYC08190.2,0.125
QNV50557.1,0.11764705882352941
ACO60010.1,0.11538461538461539
QNV50534.1,0.1111111111111111
QNV50542.1,0.1111111111111111
UMR55118.1,0.1111111111111111
UMR55119.1,0.1111111111111111
UMR55113.1,0.109375
AAC76374.1,0.10204081632653061
AYC08208.1,0.09836065573770492
ACO59992.1,0.09523809523809523
AYC08202.1,0.09523809523809523
QNV50555.1,0.09090909090909091
AAC76506.1,0.09022556390977443
AAC73157.1,0.08522727272727272
AAC75563.2,0.08450704225352113
AAC75167.1,0.08394160583941605
AAC75143.1,0.08333333333333333
AAC75449.1,0.08333333333333333
AAC76730.1,0.08333333333333333
AAC73777.1,0.08108108108108109
AAC73839.1,0.07987220447284345
AAC74669.2,0.0784313725490196
AAC74528.1,0.07792207792207792
QNV50535.1,0.07692307692307693
QNV50538.1,0.07407407407407407
AAC73186.1,0.07142857142857142
ABD18659.1,0.07142857142857142
AYC08164.1,0.07142857142857142
QNV50531.1,0.07142857142857142
AAC73801.1,0.07100591715976332
AAC73708.1,0.07042253521126761
AAC74173.1,0.07017543859649122
AAC73350.1,0.06962025316455696
AAC77054.1,0.06944444444444445
AYC08170.1,0.06896551724137931
UMR55115.1,0.06896551724137931
AAC74908.2,0.06880733944954129
AAC76106.1,0.06763285024154589
AAC77158.1,0.0673076923076923
AAC75647.1,0.06666666666666667
XJW14021.1,0.06666666666666667
AAC75807.1,0.06611570247933884
AAC74301.1,0.06578947368421052
AAC74518.1,0.06578947368421052
AAC76068.1,0.06545454545454546
AAC77026.1,0.06521739130434782
AAC77268.1,0.065
AAC75028.1,0.06493506493506493
AYC08189.1,0.06451612903225806
AAC74545.1,0.06405693950177936
AAC73930.1,0.06382978723404255
QNV50537.1,0.06382978723404255
AAC74976.1,0.06329113924050633
AAC73877.1,0.06324110671936758
AAC73923.1,0.06299212598425197
AAC76027.1,0.061946902654867256
AAC74787.1,0.06153846153846154
AAC76963.1,0.061452513966480445
